shopName,starScore,tasteScore,envScore,serScore,goodCount,middleCount,badCount
麦当劳(大源中路店),4.20,4.20,4.20,4.20,215,17,4
麦当劳(石北工业路店),,4.50,4.50,4.50,226,23,7
麦当劳(大塘湖景分店),4.30,4.30,4.20,4.30,150,22,6
麦当劳(新生汇得来速分店),4.20,4.20,4.20,4.20,96,9,8
麦当劳(华忆百货店),4.40,4.30,4.30,4.30,711,38,21
麦当劳(增城恒展江山时代得来速店),4.40,4.40,4.30,4.40,166,12,4
麦当劳(大石2建华汇店),4.20,4.20,4.20,4.20,274,35,25
麦当劳(华立学院分店),4.30,4.20,4.30,4.20,144,6,0
麦当劳(都市广场店),4.40,4.40,4.30,4.40,622,85,40
麦当劳(西环路店),4.40,4.40,4.40,4.40,206,17,7
麦当劳(金海岸花园分店),4.40,4.40,4.40,4.40,98,3,1
麦当劳(万博一路天河城分店),4.20,4.30,4.30,4.20,357,38,38
麦当劳(锦绣香江得来速分店),4.20,4.20,4.20,4.20,82,2,0
麦当劳(新港西路店),4.30,4.20,4.20,4.20,377,87,22
麦当劳(猎德大道店),,4.50,4.40,4.40,393,33,17
麦当劳(增江广场店),4.20,4.20,4.20,4.10,101,2,2
麦当劳(惠润广场店),4.30,4.30,4.30,4.30,323,47,22
麦当劳(金隆路时代云图店),4.40,4.40,4.40,4.40,100,8,6
麦当劳(杨箕分店),4.20,4.20,4.20,4.20,385,43,33
麦当劳(今日广场店),4.10,4.10,4.20,4.10,768,152,87
麦当劳(江湾路万国广场分店),4.20,4.30,4.20,4.30,146,21,3
麦当劳(鸿福路分店),4.40,4.40,4.40,4.40,322,27,25
麦当劳(棠溪店),4.10,4.20,4.10,4.20,226,47,21
麦当劳(洛溪丽江得来速分店),4.30,4.30,4.30,4.20,254,28,11
麦当劳(新城大道豪园得来速店),4.30,4.20,4.20,4.30,57,2,0
麦当劳(大坦沙东海岸分店),4.20,4.20,4.30,4.30,72,12,0
麦当劳(官洲分店),4.20,4.20,4.20,4.20,186,18,10
麦当劳(东漖北路店),4.10,4.20,4.20,4.20,265,59,22
麦当劳(天鹿南路分店),4.40,4.50,4.50,4.50,144,9,9
麦当劳(天津大厦店),4.20,4.10,4.10,4.10,339,67,22
麦当劳(华南影都店),4.10,4.10,4.10,4.10,228,45,12
麦当劳(美林M·LIVE天地西座店),4.40,4.40,4.30,4.30,339,41,18
麦当劳(东沙大道健康港分店),4.20,4.20,4.20,4.20,97,4,2
麦当劳(光明北得来速店),4.20,4.30,4.20,4.30,170,9,7
麦当劳(云城南路店),4.30,4.30,4.30,4.30,390,16,13
麦当劳(庐前山南路分店),4.40,4.40,4.40,4.40,120,1,0
麦当劳(兴南大道分店),,4.60,4.60,4.60,297,13,10
麦当劳(信德商务大厦分店),4.10,4.10,4.10,4.20,465,91,32
麦当劳(较场西店),4.10,4.20,4.20,4.20,380,75,34
麦当劳(合景路店),,4.70,4.60,4.60,182,6,0
麦当劳(黄石东路店),4.10,4.20,4.10,4.10,315,50,29
麦当劳(宜安广场店),4.10,4.10,4.20,4.10,730,140,50
麦当劳(沙步店),,4.50,4.50,4.50,203,15,17
麦当劳(工业大道南店),4.20,4.30,4.30,4.30,249,37,17
麦当劳(龟岗大马路店),4.10,4.20,4.20,4.20,378,62,33
麦当劳(黄边设计之都店),4.30,4.30,4.30,4.30,90,12,1
麦当劳(宝山大厦店),4.20,4.20,4.20,4.20,553,112,69
麦当劳(南沙美麓一街分店),,4.50,4.50,4.50,172,1,1
麦当劳(小谷围华南理工分店),4.40,4.40,4.40,4.40,86,3,1
麦当劳(萝岗九龙大道DT分店),4.30,4.30,4.30,4.30,201,22,4
麦当劳(新塘海日中心店),4.20,4.30,4.30,4.20,217,18,12
麦当劳(开泰大道得来速店),,4.50,4.40,4.50,278,19,7
麦当劳(增派大道佰乐广场店),4.20,4.20,4.30,4.20,132,1,2
麦当劳(广州黄埔东路第二分店),,4.40,4.50,4.40,245,24,9
麦当劳(福德路店),4.30,4.30,4.30,4.30,263,27,16
麦当劳(德信路得来速分店),,4.50,4.60,4.50,182,10,7
麦当劳(华厦康隆店),4.20,4.20,4.20,4.20,429,71,43
麦当劳(华厦康隆店),4.20,4.20,4.20,4.20,429,71,43
麦当劳(学府路麦当劳餐厅店),4.40,4.40,4.30,4.40,151,1,3
麦当劳(恩宁路店),4.00,4.10,4.10,4.10,281,66,47
麦当劳(解放北路店),4.20,4.20,4.20,4.20,203,16,0
麦当劳(江燕路万科里店),4.30,4.40,4.30,4.40,412,55,25
麦当劳(东晓南店),4.30,4.20,4.30,4.20,474,81,40
,, , , ,0,0,0
,, , , ,0,0,0
麦当劳(岭南新世界分店),4.20,4.30,4.30,4.20,356,46,19
麦当劳(天马丽苑店),,3.60,3.90,3.60,23,4,1
麦当劳(天娱广场店),4.30,4.30,4.20,4.20,674,108,49
麦当劳(黄石路),4.10,4.10,4.00,4.00,167,21,17
麦当劳(碧桂大道分店),4.20,4.20,4.30,4.20,273,52,18
麦当劳(港湾路中远海运大厦店),4.00,4.00,4.00,4.00,10,0,0
麦当劳(萝岗敏捷广场店),,4.50,4.50,4.50,178,10,9
麦当劳(雅居乐剑桥郡得来速分店),4.20,4.20,4.20,4.20,88,8,3
麦当劳(石溪店),,4.50,4.50,4.50,542,71,24
麦当劳(广州阁屏商务大厦店),,0.0,0.0,0.0,0,0,0
麦当劳(华景北路店),4.30,4.40,4.30,4.30,347,25,15
麦当劳(尚品国际得来速分店),4.20,4.30,4.20,4.20,32,3,0
麦当劳(凤凰城得来速店),4.10,4.20,4.20,4.10,258,38,20
麦当劳(荔乡路星潮泰广场分店),,4.60,4.60,4.60,100,0,0
麦当劳(天河悦景路店),4.20,4.30,4.30,4.20,201,10,5
麦当劳(中唱大厦店),4.20,4.30,4.20,4.20,282,44,19
麦当劳(百利广场店),4.30,4.30,4.30,4.30,834,115,57
麦当劳(花城大道华穗路店),4.20,4.20,4.20,4.10,431,69,36
麦当劳(创新大道纳米谷店),4.00,4.00,4.00,4.00,27,0,0
麦当劳(协亨广场店),,4.50,4.40,4.50,299,28,8
麦当劳(万胜广场店),4.30,4.30,4.30,4.30,498,75,23
麦当劳(朱村大道荔富湖畔分店),4.40,4.40,4.30,4.40,159,3,1
麦当劳(信业悦都汇店),4.30,4.30,4.30,4.30,70,4,4
麦当劳(均禾大道得来速店),4.00,4.00,4.00,4.00,18,0,0
麦当劳(英雄广场店),4.00,4.00,3.90,3.90,480,118,38
麦当劳(大源北路太和汇分店),4.10,4.10,4.10,4.10,111,1,0
麦当劳甜品站(维多利广场店),4.10,4.10,4.20,4.10,179,30,20
麦当劳(动漫星城店),4.10,4.10,4.10,4.10,672,196,78
麦当劳(金茂广场店),4.20,4.30,4.20,4.30,75,15,3
麦当劳(长兴优托邦店),4.30,4.30,4.30,4.30,332,68,18
麦当劳(番禺信联大厦店),4.30,4.30,4.30,4.30,192,15,8
麦当劳(龙洞2店),4.00,4.10,4.10,3.90,320,44,20
麦当劳(海珠万达店),,4.50,4.50,4.50,289,30,7
